,blockArea,floorSum,groundSum,Pop,DensityB,DensityF,DensityG
72,326261.015315496,124294.5610673163,420818.6840612671,3291.0,10087.015749698403,26477.425655155075,7820.470251555804
73,326261.0153144042,48041.33741716583,352629.25677117676,3291.0,10087.015749732158,68503.50504239045,9332.748025883597
74,326261.01531331235,67940.86039460522,374012.69146390824,2006.0,6148.451411130484,29525.678484920758,5363.454358055057
75,326261.0153144042,302093.65593078424,578448.959110107,2006.0,6148.451411109909,6640.32481522755,3467.8945625315932
76,326261.0153144042,523087.9352846409,790192.0987452376,612.0,1875.7987355928533,1169.9753688009976,774.495215747927
77,326261.01531331235,121845.18317711184,423140.03181279957,612.0,1875.7987355991309,5022.767285846732,1446.3297111788127
78,326261.0153144042,49230.73139976031,360713.0881481087,1708.0,5235.072288223192,34693.77666016792,4735.065225298106
79,326261.0153144042,63028.99955465895,365389.7598117121,1708.0,5235.072288223192,27098.637326756503,4674.460501794425
80,326261.01531331235,43110.72397350804,353895.55225000915,2266.0,6945.359370698743,52562.32767959265,6403.019155208785
81,326261.0153144042,1256.9353525921306,326889.4829907003,73.0,223.74723480110833,58077.7681600369,223.3170652421289
82,326261.0153144042,20959.785077747394,333949.4017212737,73.0,223.74723480110833,3482.860140465024,218.59598976292955
83,326261.0153144042,34613.9103513922,340853.61002074555,37.0,113.40613270741107,1068.9344146438464,108.55099935056592
84,326261.01531331235,25494.37341996935,339321.2496783715,37.0,113.40613270779059,1451.3006219254037,109.0412110502091
85,326261.0153144042,31474.532455423814,345620.70834291924,37.0,113.40613270741107,1175.5536020241666,107.05377052606813
86,326261.0153144042,158506.26235072885,435318.4221911981,44.0,134.86134700340776,277.59155598938185,101.07543755792298
87,326261.01531331235,15854.347681870246,332299.11126746784,75.0,229.87729602930526,4730.563597123833,225.7002726066048
88,326261.015315496,9397.22304097411,330926.3738844957,75.0,229.8772960277667,7981.081184620425,226.6365147015375
89,326261.0153144042,408.91518926968206,326463.5566152104,104.0,318.7631838262365,254331.46708426956,318.56541991478906
90,326261.0153144042,12328.399366502897,329646.79171503097,104.0,318.7631838262365,8435.807188609991,315.4891921105201
91,326261.0153144042,12123.326952547553,330462.2664687648,111.0,340.2183981222332,9155.9025368589,335.8931147756069
92,326261.0153144042,27671.50015435154,336861.7447056342,18.0,55.17055104684863,650.4887664057264,53.434384529858846
93,326261.01531331235,7204.721825241685,328737.1023667703,18.0,55.170551047033264,2498.3615518557767,54.75499987804081
94,326270.42052001785,4490.521805557924,326728.8255188721,2547.0,7806.4079359095085,567194.6625106185,7795.455439094349
95,326270.4205211097,4321.041988933956,327716.5903145181,2547.0,7806.407935883385,589441.1594524612,7771.959294326779
96,326270.4205211097,715.8848316388754,326270.4205211097,2547.0,7806.407935883385,3557834.84638046,7806.407935883385
97,326270.42052001785,42261.76924600963,353945.9267951225,7904.0,24225.303622076466,187024.8250609219,22331.09467191337
98,326270.4205211097,205848.21005967964,447247.13280292455,2604.0,7981.109644695852,12650.097852417792,5822.284390467919
99,326270.4205211097,58837.11828982065,363551.9171273291,2604.0,7981.109644695852,44257.775970148345,7162.6633702717745
